,State Abbv,State,variable,value
403,VT,Vermont,F13191,-0.0
404,WA,Washington,F13191,-0.0
405,WI,Wisconsin,F13191,0.0
406,WV,West Virginia,F13191,-0.0
407,WY,Wyoming,F13191,-0.0
408,AK,Alaska,F06795,-0.0
409,AL,Alabama,F06795,0.01629840712304848
410,AR,Arkansas,F06795,0.11515319375082528
411,AZ,Arizona,F06795,0.0
412,CA,California,F06795,0.16151413836141162
413,CO,Colorado,F06795,0.20073387876207968
414,CT,Connecticut,F06795,0.27034121182403975
415,DC,Washington D.C.,F06795,0.0
416,DE,Delaware,F06795,0.37526507288954253
417,FL,Florida,F06795,0.2709632348759232
418,GA,Georgia,F06795,0.061247455098371185
419,HI,Hawaii,F06795,0.10125988466275808
420,IA,Iowa,F06795,0.12259397629486644
421,ID,Idaho,F06795,0.0
422,IL,Illinois,F06795,0.07978182405288682
423,IN,Indiana,F06795,0.10610748583550132
424,KS,Kansas,F06795,0.0361628450749704
425,KY,Kentucky,F06795,0.0005787323870700829
426,LA,Louisiana,F06795,-0.08156119387052391
427,MA,Massachusetts,F06795,0.14384301746981565
428,MD,Maryland,F06795,0.31855526649660715
429,ME,Maine,F06795,0.25037053386331964
430,MI,Michigan,F06795,0.0
431,MN,Minnesota,F06795,0.15992429153255955
432,MO,Missouri,F06795,0.028788094044260675
433,MS,Mississippi,F06795,0.014358104693960587
434,MT,Montana,F06795,0.13476893422874772
435,NC,North Carolina,F06795,0.12453881402411324
436,ND,North Dakota,F06795,0.0
437,NE,Nebraska,F06795,0.07118134590521938
438,NH,New Hampshire,F06795,0.15143045238918956
439,NJ,New Jersey,F06795,0.1333024384445141
440,NM,New Mexico,F06795,-0.0
441,NV,Nevada,F06795,0.20065438540290081
442,NY,New York,F06795,0.219369707637783
443,OH,Ohio,F06795,0.10658015800929319
444,OK,Oklahoma,F06795,0.07434218677534309
445,OR,Oregon,F06795,0.0
446,PA,Pennsylvania,F06795,0.18930746857885106
447,RI,Rhode Island,F06795,0.2338339037984654
448,SC,South Carolina,F06795,0.08594609590655683
449,SD,South Dakota,F06795,0.0
450,TN,Tennessee,F06795,0.003290093913344961
451,TX,Texas,F06795,0.10290189470519202
452,UT,Utah,F06795,0.044177862288772185
453,VA,Virginia,F06795,0.07865340597094526
454,VT,Vermont,F06795,0.03150151835864626
455,WA,Washington,F06795,0.07597263165084975
456,WI,Wisconsin,F06795,0.04609728415445956
457,WV,West Virginia,F06795,0.0
458,WY,Wyoming,F06795,0.0
459,AK,Alaska,F04820,-0.0
460,AL,Alabama,F04820,-0.0
461,AR,Arkansas,F04820,-0.0
462,AZ,Arizona,F04820,-0.0
463,CA,California,F04820,-0.0
464,CO,Colorado,F04820,-0.0
465,CT,Connecticut,F04820,-0.0
466,DC,Washington D.C.,F04820,0.0
467,DE,Delaware,F04820,-0.0
468,FL,Florida,F04820,-0.0
469,GA,Georgia,F04820,-0.0
470,HI,Hawaii,F04820,-0.0
471,IA,Iowa,F04820,-0.0
472,ID,Idaho,F04820,-0.0
473,IL,Illinois,F04820,-0.0
474,IN,Indiana,F04820,-0.0
475,KS,Kansas,F04820,-0.0
476,KY,Kentucky,F04820,-0.0
477,LA,Louisiana,F04820,-0.0
478,MA,Massachusetts,F04820,-0.0
479,MD,Maryland,F04820,-0.0
480,ME,Maine,F04820,-0.0
481,MI,Michigan,F04820,-0.0
482,MN,Minnesota,F04820,-0.0
483,MO,Missouri,F04820,-0.0
484,MS,Mississippi,F04820,-0.0
485,MT,Montana,F04820,-0.0
486,NC,North Carolina,F04820,-0.0
487,ND,North Dakota,F04820,-0.0
488,NE,Nebraska,F04820,-0.0
489,NH,New Hampshire,F04820,0.0
490,NJ,New Jersey,F04820,-0.0
491,NM,New Mexico,F04820,-0.0
492,NV,Nevada,F04820,-0.0
493,NY,New York,F04820,-0.0
494,OH,Ohio,F04820,-0.0
495,OK,Oklahoma,F04820,-0.0
496,OR,Oregon,F04820,-0.0
497,PA,Pennsylvania,F04820,-0.0
498,RI,Rhode Island,F04820,-0.0
499,SC,South Carolina,F04820,-0.0
500,SD,South Dakota,F04820,-0.0
501,TN,Tennessee,F04820,-0.0
502,TX,Texas,F04820,-0.0
503,UT,Utah,F04820,-0.0
504,VA,Virginia,F04820,-0.0
505,VT,Vermont,F04820,-0.0
506,WA,Washington,F04820,-0.0
507,WI,Wisconsin,F04820,-0.0
508,WV,West Virginia,F04820,-0.0
509,WY,Wyoming,F04820,-0.0
510,AK,Alaska,F04821,-0.0
511,AL,Alabama,F04821,-0.0
512,AR,Arkansas,F04821,-0.0
513,AZ,Arizona,F04821,-0.0
514,CA,California,F04821,-0.0
515,CO,Colorado,F04821,-0.0
516,CT,Connecticut,F04821,-0.0
517,DC,Washington D.C.,F04821,0.0
518,DE,Delaware,F04821,-0.0
519,FL,Florida,F04821,-0.0
520,GA,Georgia,F04821,0.0
521,HI,Hawaii,F04821,-0.0
522,IA,Iowa,F04821,-0.0
523,ID,Idaho,F04821,-0.0
524,IL,Illinois,F04821,-0.0
525,IN,Indiana,F04821,-0.07998392164598386
526,KS,Kansas,F04821,-0.0
527,KY,Kentucky,F04821,-0.0
528,LA,Louisiana,F04821,-0.0
529,MA,Massachusetts,F04821,-0.0
530,MD,Maryland,F04821,-0.0
531,ME,Maine,F04821,-0.0
532,MI,Michigan,F04821,-0.0
533,MN,Minnesota,F04821,-0.0
534,MO,Missouri,F04821,-0.0
535,MS,Mississippi,F04821,-0.0
536,MT,Montana,F04821,-0.0
537,NC,North Carolina,F04821,-0.0
538,ND,North Dakota,F04821,-0.0
539,NE,Nebraska,F04821,-0.0
540,NH,New Hampshire,F04821,0.0
541,NJ,New Jersey,F04821,0.0
542,NM,New Mexico,F04821,-0.0
543,NV,Nevada,F04821,-0.0
544,NY,New York,F04821,-0.0
545,OH,Ohio,F04821,-0.0
546,OK,Oklahoma,F04821,-0.0
547,OR,Oregon,F04821,-0.0
548,PA,Pennsylvania,F04821,-0.0
549,RI,Rhode Island,F04821,-0.0
550,SC,South Carolina,F04821,-0.0
551,SD,South Dakota,F04821,-0.0
552,TN,Tennessee,F04821,-0.0
553,TX,Texas,F04821,-0.0
554,UT,Utah,F04821,-0.0
555,VA,Virginia,F04821,-0.0
556,VT,Vermont,F04821,-0.0
557,WA,Washington,F04821,-0.0
558,WI,Wisconsin,F04821,-0.0
559,WV,West Virginia,F04821,-0.0
560,WY,Wyoming,F04821,-0.11660541401447516
561,AK,Alaska,F04904,-0.0
562,AL,Alabama,F04904,-0.0
563,AR,Arkansas,F04904,-0.0
564,AZ,Arizona,F04904,-0.0
565,CA,California,F04904,-0.0
566,CO,Colorado,F04904,-0.0
567,CT,Connecticut,F04904,0.0
568,DC,Washington D.C.,F04904,0.0
569,DE,Delaware,F04904,-0.0
570,FL,Florida,F04904,-0.0
